链接,图片链接,标题,价格,人数,评论人数,景点,供应商,时间,出发地/旅行团/著名景点,标签
http://www.tuniu.com/tour/210388650,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<德国+法国+瑞士+意大利13日游>25人小团，全含0自费，海航直飞可联运，四五星，三段欧洲高铁，双宫VIP通道，铁力士，五渔村，双游船，WIFI，异地指纹,￥20388,92%,462,132人,",叹息桥，慕尼黑新市政厅，巴黎塞纳河游船，普罗旺斯，圣马可教堂，新天鹅堡，罗马斗兽场，凡尔赛宫，佛罗伦萨市政厅广场，道奇宫",翔龙万里行,9月19日，10月10日，10月24日,",广州出发| 北京成团| 直飞全国联运 五渔村 铁力士山 三段高铁 法国南部 四大特色餐 ",自然遗产无自费可异地按指纹
http://www.tuniu.com/tour/210137295,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[国庆]<德国+法国+意大利+瑞士12-13日游>南航/海航直飞，全国联运，琉森湖，卢浮宫入内，威尼斯，拒签全退,￥6199,93%,425,112人,",琉森（卢塞恩），科隆古集市广场，比萨大教堂，慕尼黑新市政厅，柏林，圣马可教堂，马特洪峰，米开朗基罗广场，玛丽亚广场，佛罗伦萨市政厅广场",寰宇旅游,中秋，国庆，9月5日，9月14日，9月19日，9月24日，10月3日，10月5日，10月10日，10月15日，10月24日，10月29日，11月7日，11月12日，11月21日，11月26日，12月5日，12月10日，12月19日，12月24日,",广州出发| 北京成团| 高性价比欧洲 卢浮宫入内 壁画小镇 圣吉米亚诺 可全国联运 拒签全退 ",null
http://www.tuniu.com/tour/210140674,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<俄罗斯-北欧四国13-15日游>直飞，金环，拒签全退，异地指纹，醉美双峡湾，俄式特色餐，腓特烈城堡花园，沃尔令斯瀑布，一路向北天然纯净之旅,￥11868,94%,287,37人,",西贝柳斯公园，芬兰，岩石教堂，赫尔辛基大教堂，松恩峡湾，夏宫，奥斯陆，红场，弗洛姆，马尔默厄勒海峡大桥",泛美旅游,中秋，9月9日，9月10日，9月11日，9月13日，9月16日，9月19日，9月21日，9月22日，9月25日，10月25日，10月29日,",广州出发| 北京成团| 可申请联运 金环小镇 北欧轻旅行 夏宫花园 冬宫",null
http://www.tuniu.com/tour/210139414,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[元旦]<东欧+西欧15日游>海航直飞联运，体验德国高铁ICE，三道式墨鱼面，卢浮宫入内IPAD讲解，布拉格，维也纳，楚格小镇,￥7979,91%,448,98人,",金色大厅，德国国会大厦，罗马广场，罗马斗兽场，凡尔赛宫，维也纳国家歌剧院，君士坦丁凯旋门，巴黎圣母院，法兰克福大教堂，柏林墙",九州风行,元旦，10月11日，10月18日，10月25日，11月1日，11月8日，11月15日，11月22日，11月29日，12月6日，12月13日，12月20日，12月27日，1月3日，1月10日，1月17日，1月24日，1月31日,",广州出发| 北京成团| 卢浮宫 新天鹅堡 瑞士3镇 巴黎圣母院 邮票王国 加尔达湖",城市观光
http://www.tuniu.com/tour/210138144,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<俄罗斯-芬兰-瑞典-挪威-丹麦13日游>国航直飞免费申请联运，可异地录指纹，拒签全退，双峡湾，瑞典皇后岛，马尔默厄勒海峡大桥，轻奢北欧之旅,￥15938,98%,217,26人,",赫尔辛基议会广场，岩石教堂，奥斯陆市政厅，赫尔辛基大教堂，夏宫，红场，奥斯陆歌剧院，皇后岛，瑞典皇宫，冬宫",友创国际,9月8日，9月25日,",广州出发| 北京成团| 国航直飞 可异地录指纹 瑞典皇后岛 挪威圣诞小镇 厄勒跨海大桥 拒签全...",湖光山色可异地按指纹
http://www.tuniu.com/tour/210140639,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[国庆]<德国+法国+瑞士+意大利11-12日游>广深往返，四至五星，欧洲阿尔卑斯山，塞纳河游船，新天鹅堡，不走回头，含司导，B线南航直飞可联运,￥10885,97%,310,47人,",琉森（卢塞恩），叹息桥，协和广场，圣马可教堂，琉森湖，廊桥水塔，罗马斗兽场，圣马可广场，法兰克福旧市政厅，君士坦丁凯旋门",成功之旅,国庆，9月17日，9月25日，9月28日，9月29日，9月30日，10月2日，10月13日，11月12日，11月14日，11月23日，11月26日，11月30日，12月3日，12月4日，12月9日，12月10日，12月14日，12月20日，12月24日，12月26日，1月7日，1月12日，1月19日，1月21日，1月24日，1月28日，2月11日，2月25日，3月2日，3月11日，3月13日，3月18日，3月19日，3月24日，4月2日,",广州出发| 深圳成团| 南航可联运 含司导费 巴黎自由活动 餐标升六菜 巴黎半天自由 琉森湖 ",人文探索有自由活动
http://www.tuniu.com/tour/210139164,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<奥地利-捷克-匈牙利-斯洛伐克12日游>百分百好评 24人轻奢团 纯玩0购物自费  米其林餐  欧洲五星住宿（2晚四星） 国航直飞 东欧特色餐 换装晚宴 WIFI,￥26166,100%,89,25人,",查理大桥，马加什教堂，渔人堡，英雄广场，维也纳市政厅，布达皇宫，霍夫堡皇宫，捷克克鲁姆洛夫城堡，梅尔克修道院，英雄广场",加利利旅游,10月15日，10月22日，10月29日,",广州出发| 北京成团| 免费wifi 精致小团 国免费联运 严控车程 无自费",美食可异地按指纹无自费
http://www.tuniu.com/tour/210499127,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[圣诞]<希腊+法国+瑞士+意大利15日游>含全程服务费，圣岛全天自由活动，雪山，庄园品酒，天使之乡快车，境外加飞，庞贝古城，浪漫游船，美食,￥17599,93%,376,90人,",叹息桥，巴黎塞纳河游船，圣托里尼岛，瑞吉雪山，罗马斗兽场，圣马可广场，君士坦丁凯旋门，巴黎圣母院，铁力士山，雅典卫城",优耐德旅游,10月30日，11月21日，12月15日，12月22日,",广州出发| 北京成团| 欧洲蜜月首推 含全程服务费 境外加飞 浪漫圣托里尼 雪山快车游船 教堂...",海滨/岛屿可异地按指纹有自由活动
http://www.tuniu.com/tour/210207569,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<俄罗斯莫斯科-圣彼得堡7日游>东航直飞 全国免费联运 全程四星 金环小镇  冬宫 夏宫花园  红场 保证拼房 跟团免签,￥5339,92%,380,75人,",彼得保罗要塞，夏宫，红场，青铜骑士，滴血大教堂，涅瓦大街，克里姆林宫，冬宫，莫斯科地铁，亚历山大花园",享游俄罗斯,中秋，9月18日，9月23日，10月11日，10月18日，10月19日，10月26日，10月29日，11月9日，11月16日，11月23日，11月26日，11月30日，12月14日，12月24日，12月28日,",广州出发| 上海成团| 东航上海直飞 线路全新升级 团队跟团免签 中俄餐搭配 探寻世遗古迹 优...",有自由活动
http://www.tuniu.com/tour/210454273,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[国庆]<西班牙+葡萄牙+摩洛哥+直布罗陀四国16日游>不收服务费 四星升1晚五星 烤肉餐 皇马御用ZEN餐厅 广州 厦门 三亚可申请联运,￥17408,94%,217,53人,",马德里西班牙广场，塞维利亚大教堂，米拉之家，塞维利亚西班牙广场",五洲行（欧澳）,国庆，10月6日,",广州出发| 北京成团| 全程四星 历史事件 文化之旅 升级一晚五星 马德里烤肉餐 ",可异地按指纹无自费
http://www.tuniu.com/tour/210181648,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[国庆]<德国+法国+瑞士+意大利13-14日游>高端欧洲直飞，全含0自费，全程四星，绚丽南法或彩色岛，雪朗峰，双快车，双宫双船，特色美食,￥20266,97%,244,38人,",巴黎塞纳河游船，新天鹅堡，罗马斗兽场，卢浮宫，埃菲尔铁塔，凡尔赛宫，勃兰登堡门，凯旋门，塞纳河，道奇宫",优耐德旅游,9月29日,",广州出发| 北京成团| 高端欧洲 直飞可联运 七大世界遗产 全程四星酒店 深度德法瑞意 欧洲游...",无自费有自由活动
http://www.tuniu.com/tour/210140910,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[国庆]<东欧+西欧15日游>欧洲多国全景连线，精选国内航司，卢浮宫，蒙帕纳斯，因特拉肯，翡冷翠，渔人堡，布拉格城堡，时尚之都米兰，巴黎自由活动,￥9391,96%,195,57人,",布拉迪斯拉发城堡，叹息桥，圣伊斯特万大教堂，蒙帕纳斯大厦，圣马可教堂，新天鹅堡，渔人堡，因斯布鲁克，伊莉莎白大桥，圣马可广场",翔龙万里行,9月5日，10月24日，10月31日，11月14日，11月21日，11月28日，12月12日，12月26日,",广州出发| 上海成团| 新天鹅堡 卢浮宫 水城威尼斯 ",湖光山色可异地按指纹有自由活动
http://www.tuniu.com/tour/210139110,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[国庆]<法瑞意13-14日游>自营欧洲，林志颖同款，超19000人出游，意深四五星，6处世遗，科尔马，少女峰，金色快车，双宫双游船，2人/台WiFi，一价全含,￥15599,97%,1.9万,4972人,",叹息桥，协和广场，比萨大教堂，蒙帕纳斯大厦，罗马斗兽场，米开朗基罗广场，斯卡拉歌剧院，圣马可广场，比萨斜塔，卢浮宫",牛人专线,中秋，国庆，9月20日，9月22日，9月24日，9月26日，9月28日，9月29日，10月2日，10月8日，10月16日，10月23日，10月27日，10月29日，11月1日，11月7日，11月12日，11月15日，11月19日，12月6日，12月11日,",上海出发| 上海成团| 牛人明星产品  4000+真实点评 金牌领队 世界遗产 锡耶纳 少女峰",湖光山色可异地按指纹有自由活动
http://www.tuniu.com/tour/210137674,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<法国意大利瑞士13日游>自营，万人出游，林志颖同款，一价全含，4到5星，庄园酒店，少女峰，金色山口，双宫双游船，MALL，五渔村，3顿特色，2人WIFI,￥13999,98%,1.7万,4337人,",琉森（卢塞恩），叹息桥，协和广场，比萨大教堂，圣马可教堂，罗马斗兽场，米开朗基罗广场，佛罗伦萨市政厅广场，塞纳河，斯卡拉歌剧院",牛人专线,国庆，9月29日，10月1日，10月2日，10月3日，10月13日，10月19日，10月26日，11月2日，11月16日，11月23日，11月30日，12月7日，12月14日，1月5日，1月12日，1月17日，1月29日，2月1日，2月2日，2月9日，2月10日，3月8日，3月16日，3月27日，3月29日，3月30日,",北京出发| 北京成团| 一价全含，4-5星酒店，一晚升级庄园酒店，少女峰，双游船（贡多拉游船+...",可异地按指纹
http://www.tuniu.com/tour/210133047,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[国庆]<英国深度10日游>全含0自费，海航往返，全四星，皇室双古堡，双学府，巨石阵，莎翁故居，温德米尔湖，比斯特，伦敦自由活动，英式下午茶,￥19244,93%,195,41人,",科茨沃尔德，大本钟，大英博物馆，温德米尔湖，温莎城堡，剑桥大学城，伦敦塔桥，牛津大学，爱丁堡城堡，莎士比亚故居",优耐德旅游,国庆，9月26日，10月3日,",广州出发| 北京成团| 一价全含 往返直飞 伦敦自由活动 双学府游览 血拼奥莱 人气美食 ",购物血拼
http://www.tuniu.com/tour/210487169,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[国庆]<法国+瑞士+意大利13日游>十大保障，25人VIP小团，陆地公务舱，四五星，威尼斯住本岛，巴黎全天自由活动，南法，五渔村，雪朗峰，双人WIFI,￥23247,98%,93,23人,",金色山口快车，圣马可教堂，琉森湖，罗马斗兽场，塞纳河，圣马可广场，蒙特卡罗，巴黎圣母院，五渔村，雪朗峰",优耐德旅游,9月27日，10月25日，10月30日，11月14日，11月20日，11月25日，12月15日，12月20日，12月25日，1月16日，1月23日，1月30日,",广州出发| 北京成团| 高端欧洲 火车体验 法国南部 卢浮宫含讲解 五星酒店 特色餐食",自然遗产有自由活动可异地按指纹
http://www.tuniu.com/tour/210609728,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<北欧四国-俄罗斯13日游>金秋欢乐尾货，直飞，拒签全退，情迷皇后岛，靓丽哈松双峡湾，金环古镇或梦幻塔林，腓特烈城堡花园，美宿单晚峡湾酒店,￥13597,99%,92,17人,",西贝柳斯公园，芬兰，岩石教堂，赫尔辛基大教堂，松恩峡湾，夏宫，奥斯陆，红场，弗洛姆，马尔默厄勒海峡大桥",泛美旅游,9月1日，9月9日，9月10日，9月11日,",广州出发| 北京成团| 可申请联运 超级线性公园 北欧轻旅行 夏宫花园 冬宫 ",null
http://www.tuniu.com/tour/210426528,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<俄罗斯-莫斯科+圣彼得堡8-9日游>全含，26人团，广州往返，俄航四飞，国际四星，叶卡花园及琥珀宫，金环三镇，冬宫，夏宫花园，克宫，俄式大餐，WiFi,￥12999,93%,255,46人,",叶卡捷琳娜宫",牛人专线,国庆，10月4日,",广州出发| 广州成团| 一价全含 国际四星酒店 叶卡花园及琥珀宫 冬宫 夏宫花园 克宫 金环小...",免费WiFi
http://www.tuniu.com/tour/210141111,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[国庆]<德国-法国-瑞士-意大利11-13日游>含服务费A380直飞欧洲，少女峰，卢浮宫，塞纳河游船，品酒，博物馆广场风车村加因斯布鲁克,￥13384,96%,175,37人,",巴黎大皇宫，叹息桥，协和广场，新天鹅堡，罗马斗兽场，圣十字教堂，卢克索方尖碑，塞纳河，道奇宫，黄金屋顶",优加旅游,9月5日，9月12日，9月19日，9月26日,",广州出发| 北京成团| A380直飞 卢浮宫含讲解 水城威尼斯 少女峰 塞纳河游船 文艺复兴 ",近市区
http://www.tuniu.com/tour/210181348,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[国庆]<英爱全景-英格兰+苏格兰+北爱尔兰+威尔士+爱尔兰16日游>海航往返，可联运，探秘尼斯湖，七姐妹悬崖，巨石阵巨人堤，自由活动,￥14459,93%,154,35人,",大英博物馆，都柏林之门，皇家新月楼，温莎城堡，白金汉宫，巨石阵，西敏寺大教堂，伦敦塔桥，牛津大学，白金汉宫广场",优耐德旅游,9月29日，11月10日，11月17日，11月24日，12月1日，12月8日，12月15日，12月22日，12月29日，1月5日，1月12日，1月19日，2月16日，2月23日，3月2日，3月9日，3月16日,",广州出发| 北京成团| 深度英爱 真正大全景 海航可联运 四星级酒店 双学府游览 ",有自由活动
http://www.tuniu.com/tour/210134003,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<北欧四国-卑尔根10日游>直飞，拒签全退，驯鹿肉餐，邮轮海景舱，异地录指纹，双宿峡湾酒店，魅力哈松双峡湾，梅兰湖畔皇后岛，腓特烈城堡花园,￥13470,91%,185,26人,",卑尔根，西贝柳斯公园，岩石教堂，赫尔辛基大教堂，松恩峡湾，奥斯陆，哈当厄峡湾，弗洛姆，阿克斯胡斯城堡，腓特烈教堂",泛美旅游,9月2日，9月12日，9月16日，9月19日，9月20日，9月21日,",广州出发| 北京成团| 搭配全国联运 松恩峡湾 畅享双邮轮 哈当厄尔峡湾",湖光山色
http://www.tuniu.com/tour/210162314,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<捷克一地10日游>全程五星（仅2晚四星）变装飨宴 跳舞的房子 克鲁姆洛夫 玛利亚小镇 含游船 入内布拉格城堡 人骨教堂 0购物 送wifi,￥20826,100%,49,20人,",查理大桥，提恩教堂，捷克克鲁姆洛夫城堡，布拉格城堡，捷克人骨教堂",加利利旅游,10月16日，10月30日,",广州出发| 北京成团| 免费wifi 精致小团 全国联运 餐餐含酒水 一价全含 10人成团",有自由活动纯玩无购物
http://www.tuniu.com/package/210228486,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<捷克布拉格-CK小镇5晚7日自由行>布拉格进出，自选航班、酒店，东欧打卡线路，推荐参考行程，可定接送机,￥5952,99%,143,9人,",布拉格，伏尔塔瓦河，泰瑞辛集中营，德弗札克公园，总统府，捷克国家歌剧院，布拉格旧城广场，圣艾格尼丝修道院，莱德尼采，捷克克鲁姆洛夫城堡",途牛国旅,中秋，国庆，8月24日，8月25日，8月26日，8月27日，8月28日，8月29日，8月30日，8月31日，9月1日，9月2日，9月3日，9月4日，9月5日，9月6日，9月7日，9月8日，9月9日，9月10日，9月11日，9月12日，9月13日，9月14日，9月15日，9月16日，9月17日，9月18日，9月19日，9月20日，9月21日，9月22日，9月23日，9月24日，9月25日，9月26日，9月27日，9月28日，9月29日，9月30日，10月1日，10月2日，10月3日，10月4日，10月5日，10月6日，10月8日，10月9日，10月10日，10月12日，10月13日，10月14日，10月15日，10月16日，10月17日，10月18日，10月19日，10月20日，10月22日，10月23日，10月31日,",广州出发| 布拉格之恋 查理大桥 CK小镇 红色屋顶",近市区湖光山色
http://www.tuniu.com/tour/210140792,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<法瑞意12-13日游>自营欧洲，瑞士深度，9600+出游，瑞士住三晚，全含四五星，升级TGV，少女峰，金色快车，双宫，巴黎1 free day，WiFi，异地指纹,￥15999,97%,9666,2351人,",叹息桥，协和广场，圣马可教堂，罗马斗兽场，塞纳河，大喷泉和大花钟，圣马可广场，西班牙广场，卢浮宫，埃菲尔铁塔",牛人专线,9月28日，10月18日，10月22日，10月25日，11月13日，11月21日，11月28日，12月9日，1月11日，1月26日，1月27日，2月8日，3月19日，3月29日，4月16日，4月28日，5月9日，5月16日，5月19日，6月2日，6月5日，6月13日，6月27日,",上海出发| 上海成团| 瑞士深度 少女峰 金色山口快车 TGV高铁 巴黎自由自在 餐饮升级",自然遗产可异地按指纹无自费
http://www.tuniu.com/tour/210135864,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<法国意大利瑞士12日游>自营，一价全含，6000人出游，瑞士3晚，双雪峰（少女峰+冰川3000或瑞吉），双宫双游船，金色山口，安纳西，2人WIFI，拒签全退,￥12999,97%,6436,1679人,",",,,",北京出发| 北京成团| 瑞士3晚，一价全含，双雪峰（少女峰+冰川3000），双游船，双宫（卢浮...",自然遗产免费WiFi
http://www.tuniu.com/tour/210588239,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<法瑞意12-13日游>林志颖同款，途牛自营，南京起止，意大利深度，4到5星，一晚庄园酒店，少女峰，金色山口快车，双宫双游船，2人/台WiFi，一价全含 ,￥15999,99%,5084,1321人,",米兰大教堂，五渔村，巴黎塞纳河游船，比萨斜塔，卢浮宫，凡尔赛宫，少女峰",牛人专线,中秋，9月22日，10月8日，10月24日，11月7日，11月21日，12月5日，1月16日，1月23日，1月30日，2月20日，3月6日,",南京出发| 南京成团| 意大利深度 法瑞意经典 世界文化遗产 四五星 一价全含",null
http://www.tuniu.com/tour/210416794,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<东欧巴尔干大全景13国21-22日游>全程无自费 可申请免费联运 免费出发前北京机场酒店一晚 波西尼亚特色餐 罗马尼亚传统风味餐,￥26486,98%,118,10人,",布拉迪斯拉发城堡，布拉格，安德拉什大街，察雷维茨城堡，塞尔维亚国家博物馆，安吉丽娜公园，布里特威斯湖国家公园，布莱德城堡，色雷斯古墓，卡莱梅格丹城堡",五洲行（欧澳）,9月25日，10月12日,",广州出发| 北京成团| 全国免费联运 畅游巴尔干 每天1瓶水 不收服务费 不推自费",null
http://www.tuniu.com/tour/210141000,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<东欧-捷克10日深度游>海航直飞，全含0自费，三大遗产小镇，人骨教堂，圣芭芭拉教堂，自由活动，温泉酒店，变装晚宴，欧洲特色餐，异地录指纹，WIFI,￥14552,98%,69,12人,",温泉长廊，查理大桥，布拉格旧城广场，圣维特大教堂，布拉格，伏尔塔瓦河，火药塔，圣芭芭拉大教堂，啤酒博物馆，捷克人骨教堂",全景旅游,9月20日,",广州出发| 北京成团| 捷克一国深度 欧洲温泉回廊 布拉格广场 人骨教堂 异地录指纹 ",自然遗产
http://www.tuniu.com/tour/210140047,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<北欧双峡湾+冰岛四晚14或13日游>广深出发，含导服费，杰古沙龙冰川湖游船观浮冰，黑沙滩，蓝湖温泉，金环之旅，松恩峡湾游船，特色餐，北欧邮轮,￥28856,94%,114,17人,",赫尔辛基议会广场，卑尔根，西贝柳斯公园，芬兰，吕瑟峡湾，赫尔辛基大教堂，松恩峡湾，哈当厄峡湾，挪威峡湾，雷克雅未克大教堂",翔龙万里行,9月20日，9月30日,",广州出发| 广州成团| 冰岛四晚 峡湾游船 蓝湖温泉 冰川古湖 含服务费 北欧邮轮 ",湖光山色可异地按指纹有自由活动
http://www.tuniu.com/tour/210181326,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[国庆]<英国+爱尔兰13日游>直飞，全含0自费，全程四星，皇室双古堡，莫赫悬崖，泰坦尼克号博物馆，巨人堤，巨石阵，健力士黑啤，英式下午茶，自由活动,￥22446,94%,133,20人,",大本钟，大英博物馆，都柏林之门，温德米尔湖，温莎城堡，白金汉宫，巨石阵，巨人堤，伦敦塔桥，牛津大学",优耐德旅游,9月28日,",广州出发| 北京成团| 双点进出 不走回头路 全程四星酒店 双古堡入内 双学府游览 赏自然景观...",有自由活动
http://www.tuniu.com/package/210228019,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<意大利米兰-威尼斯-佛罗伦萨-罗马9晚11日自由行>亲子假期，自选机票、酒店，推荐参考行程，可定玩乐、内陆机票、欧铁、接送机，行程随心,￥7535,91%,227,29人,",领主广场，斯福尔扎城堡，圣玛利亚广场，圣马可教堂，托尔切洛岛，National Institute of Nuclear Research，米开朗基罗广场，佛罗伦萨市政厅广场，道奇宫，韦帕芗与提图斯神庙",途牛国旅,中秋，国庆，8月24日，8月25日，8月26日，8月27日，8月28日，8月29日，8月30日，8月31日，9月1日，9月2日，9月3日，9月4日，9月5日，9月6日，9月7日，9月8日，9月9日，9月10日，9月11日，9月12日，9月13日，9月14日，9月15日，9月16日，9月17日，9月18日，9月19日，9月20日，9月21日，9月22日，9月23日，9月24日，9月25日，9月26日，9月27日，9月28日，9月29日，9月30日，10月1日，10月2日，10月3日，10月4日，10月5日，10月6日，10月8日，10月9日，10月10日，10月11日，10月12日，10月13日，10月14日，10月15日，10月16日，10月17日，10月18日，10月19日，10月20日，11月7日,",广州出发| 经典路线 意大利深度游 时尚潮流 罗马假日 自由欧洲之旅",近市区三星/舒适
http://www.tuniu.com/package/210351582,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<英国伦敦5晚7日自由行>自选航班、酒店，天数自由增减，足球朝圣，可定英超、欧冠球赛门票,￥6784,100%,4,1人,",白厅街，碎片大厦，Leadenhall市集，伦敦市政厅，贝尔法斯特号巡洋舰，伦敦塔桥，伦敦国宴厅，杜莎夫人蜡像馆，莎士比亚环球剧场，伦敦湿地中心",途牛国旅,中秋，国庆，8月24日，8月25日，8月26日，8月27日，8月28日，8月29日，8月30日，8月31日，9月1日，9月2日，9月3日，9月4日，9月5日，9月6日，9月7日，9月8日，9月9日，9月10日，9月11日，9月12日，9月13日，9月14日，9月15日，9月16日，9月17日，9月18日，9月19日，9月20日，9月21日，9月22日，9月23日，9月24日，9月25日，9月26日，9月27日，9月28日，9月29日，9月30日，10月1日，10月2日，10月3日，10月4日，10月5日，10月6日，10月7日，10月8日，10月9日，10月10日，10月11日，10月12日，10月13日，10月14日，10月15日，10月16日，10月17日，10月18日，10月19日，10月20日，10月21日，11月12日,",广州等地出发",近市区
http://www.tuniu.com/tour/210642239,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<俄罗斯-莫斯科+圣彼得堡8日游>海航直飞可配联运，两点进出不走回头路，高铁拒绝夜火车，全程四星酒店，神秘42号地堡，含两顿特色餐和2500元大礼包,￥9571,97%,140,19人,",莫斯科地铁，圣彼得堡狮身人面像，莫斯科国立百货商场，古姆莫斯科国立百货商场，莫斯科河，莫斯科国立大学",九州风行,中秋，9月22日，10月10日，10月24日，11月7日，11月21日，12月5日，12月19日,",广州出发| 北京成团| 华东联运免费 父母游 双点进出 赠特色餐 无夜火车",城市观光
http://www.tuniu.com/package/210600068,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<意大利罗马5晚7日自由行>蜜月假期，自选机票、酒店、酒店1晚起订，多套餐可选，七丘之城自由漫步,￥5059,96%,108,19人,",蒙特奇特利欧宫，圣玛利亚广场，罗马斗兽场，韦帕芗与提图斯神庙，西班牙广场，哈德良离宫，罗马温泉浴场，鲜花广场，布拉恰诺度假村，罗马帝国大道",途牛国旅,中秋，国庆，8月24日，8月25日，8月26日，8月27日，8月28日，8月29日，8月30日，8月31日，9月1日，9月2日，9月3日，9月4日，9月5日，9月6日，9月7日，9月8日，9月9日，9月10日，9月11日，9月12日，9月13日，9月14日，9月16日，9月17日，9月18日，9月19日，9月20日，9月21日，9月22日，9月23日，9月24日，9月25日，9月26日，9月27日，9月28日，9月29日，9月30日，10月1日，10月2日，10月3日，10月4日，10月5日，10月6日，10月7日，10月8日，10月9日，10月10日，10月11日，10月12日，10月13日，10月14日，10月15日，10月16日，10月17日，10月19日,",广州出发| 罗马假日 安妮公主 古罗马斗兽场 披萨之家 美味冰激凌",近市区三星/舒适机场接/送
http://www.tuniu.com/package/210228290,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,<希腊雅典-圣托里尼岛7晚9日自由行>蜜月假期，自选机票、酒店，可选当地玩乐任选搭配，雅典进出，可定交通接驳，观光游、圣岛婚礼、婚拍多套餐可选,￥7866,95%,476,7人,",大理石体育场，卡兰巴卡，希腊国会大厦，米克诺斯岛，雅典女人街，宪法广场，卡马利黑沙滩，帕特摩斯岛，阿迪库斯露天剧场，波卡拉",途牛国旅,中秋，国庆，8月24日，8月25日，8月26日，8月27日，8月28日，8月29日，8月30日，8月31日，9月2日，9月8日，9月9日，9月10日，9月11日，9月12日，9月13日，9月14日，9月15日，9月16日，9月17日，9月18日，9月19日，9月20日，9月21日，9月22日，9月23日，9月24日，9月25日，9月26日，9月27日，9月28日，9月29日，9月30日，10月3日，10月4日，10月5日，10月6日，10月7日，10月8日，10月9日，10月10日，10月11日，10月12日，10月13日，10月14日，10月15日，10月17日，10月20日,",广州出发| 圣托里尼 火山 蜜月 悬崖酒店 伊亚落日 爱琴海",近市区海滨/岛屿四星/高档
http://www.tuniu.com/tour/210138253,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[国庆]<法国+瑞士+意大利+德国10-12日游>全含，双宫双游船，新天鹅堡，部分升级五渔村/铁力士/比萨/法拉利列车，含wifi,￥10799,92%,516,111人,",琉森（卢塞恩），协和广场，蒙帕纳斯大厦，新天鹅堡，琉森湖，罗马斗兽场，凡尔赛宫，普伦莱茵广场，米兰大教堂，雪朗峰",寰宇旅游,国庆，9月28日，10月1日，10月12日，10月14日，10月21日，10月26日，10月28日，11月4日，11月9日，11月11日，11月18日，11月23日，11月25日，12月2日，12月7日，12月9日，12月16日，12月23日，12月30日,",广州出发| 上海成团| 双点进出 埃菲尔铁塔 蒙帕纳斯大厦 意大利风味餐 米兰大教堂 ",城市观光
http://www.tuniu.com/tour/210136255,http://img3.tuniucdn.com/img/20161227/common/TN320.jpg,[国庆]<法国+瑞士+意大利12日游>全含，超5000人出游，法国深度，金色山口快车，铁力士雪山，双宫含讲解，香波堡，圣米歇尔山，WIFI,￥13918,95%,5386,1263人,",琉森（卢塞恩），叹息桥，佛罗伦萨市政厅，廊桥水塔，罗马斗兽场，圣马可广场，君士坦丁凯旋门，比萨斜塔，圣母百花大教堂，香榭丽舍大道",全景旅游,国庆，9月10日，9月17日，9月27日，9月30日，10月2日，10月9日，10月15日，10月20日,",北京出发| 北京成团| 高满意度 千人真实点评 旅游局推荐 超5000人 出游 全程WIFI ",自然遗产无自费有自由活动
